GO:0000001	mitochondrion inheritance	线粒体遗传
GO:0006895	Golgi to endosome transport	高尔基体至内体转运
GO:0006896	Golgi to vacuole transport	高尔基体至液泡转运
GO:0006897	endocytosis	胞吞
GO:0006898	receptor-mediated endocytosis	受体介导的胞吞
GO:0006900	vesicle budding from membrane	囊泡从膜出芽
GO:0006901	vesicle coat assembly	囊泡包被组装
GO:0006906	vesicle fusion	囊泡融合
GO:0006907	pinocytosis	胞饮
GO:0006909	phagocytosis	吞噬
GO:0006910	phagocytosis, recognition	吞噬、识别
GO:0006911	phagocytosis, engulfment	吞噬、吞噬体形成
GO:0006913	nucleocytoplasmic transport	核质转运
GO:0006914	autophagy	自噬
GO:0006915	apoptotic process	凋亡过程
GO:0006921	cellular component disassembly involved in execution phase of apoptosis	参与凋亡执行期的细胞组分解组装
GO:0006924	activation-induced cell death of T cells	T细胞激活诱导的细胞死亡
GO:0006925	inflammatory cell apoptotic process	炎症细胞凋亡过程
GO:0006929	substrate-dependent cell migration	依赖基质的细胞迁移
GO:0006930	substrate-dependent cell migration, cell extension	依赖基质的细胞迁移、细胞伸展
GO:0006931	substrate-dependent cell migration, cell attachment to substrate	依赖基质的细胞迁移、细胞附着于基质
GO:0006932	substrate-dependent cell migration, cell contraction	依赖基质的细胞迁移、细胞收缩
GO:0006933	negative regulation of cell adhesion involved in substrate-bound cell migration	参与基质结合细胞迁移的细胞黏附负调控
GO:0006934	substrate-bound cell migration, adhesion receptor recycling	基质结合细胞迁移、黏附受体循环
GO:0006935	chemotaxis	趋化
GO:0006936	muscle contraction	肌肉收缩
GO:0006937	regulation of muscle contraction	肌肉收缩的调控
GO:0006939	smooth muscle contraction	平滑肌收缩
GO:0006940	regulation of smooth muscle contraction	平滑肌收缩的调控
GO:0006941	striated muscle contraction	横纹肌收缩
GO:0006942	regulation of striated muscle contraction	横纹肌收缩的调控
GO:0006950	response to stress	对胁迫的响应
GO:0006952	defense response	防御响应
GO:0006953	acute-phase response	急性期响应
GO:0006954	inflammatory response	炎症反应
GO:0006955	immune response	免疫应答
GO:0006956	complement activation	补体激活
GO:0006957	complement activation, alternative pathway	补体激活、替代途径
GO:0006958	complement activation, classical pathway	补体激活、经典途径
GO:0006959	humoral immune response	体液免疫应答
GO:0006962	male-specific antibacterial humoral response	雄性特异性抗菌体液免疫应答
GO:0006963	positive regulation of antibacterial peptide biosynthetic process	抗菌肽生物合成过程的正调控
GO:0006964	positive regulation of biosynthetic process of antibacterial peptides active against Gram-negative bacteria	抗革兰氏阴性菌抗菌肽生物合成过程的正调控
GO:0006965	positive regulation of biosynthetic process of antibacterial peptides active against Gram-positive bacteria	抗革兰氏阳性菌抗菌肽生物合成过程的正调控
GO:0006967	positive regulation of antifungal peptide biosynthetic process	抗真菌肽生物合成过程的正调控
GO:0006968	cellular defense response	细胞防御响应
GO:0006970	response to osmotic stress	对渗透胁迫的响应
GO:0006971	hypotonic response	低渗响应
GO:0006972	hyperosmotic response	高渗响应
GO:0006973	intracellular accumulation of glycerol	甘油在细胞内的积累
GO:0006974	DNA damage response	DNA损伤响应
GO:0006979	response to oxidative stress	对氧化应激的响应
GO:0006982	response to lipid hydroperoxide	对脂质氢过氧化物的响应
GO:0006983	ER overload response	内质网超载响应
GO:0006984	ER-nucleus signaling pathway	内质网-细胞核信号传导通路
GO:0006986	response to unfolded protein	对未折叠蛋白质的响应
GO:0006991	response to sterol depletion	对固醇耗竭的响应
GO:0006995	cellular response to nitrogen starvation	细胞对氮饥饿的响应
GO:0006996	organelle organization	细胞器组织
GO:0006997	nucleus organization	细胞核组织
GO:0006998	nuclear envelope organization	核被膜组织
GO:0006999	nuclear pore organization	核孔组织
GO:0007000	nucleolus organization	核仁组织
GO:0007004	telomere maintenance via telomerase	通过端粒酶的端粒维持
GO:0007005	mitochondrion organization	线粒体组织
GO:0007006	mitochondrial membrane organization	线粒体膜组织
GO:0007007	inner mitochondrial membrane organization	线粒体内膜组织
GO:0007008	outer mitochondrial membrane organization	线粒体外膜组织
GO:0007009	plasma membrane organization	质膜组织
GO:0007010	cytoskeleton organization	细胞骨架组织
GO:0007014	actin ubiquitination	肌动蛋白泛素化
GO:0007015	actin filament organization	肌动蛋白丝组织
GO:0007017	microtubule-based process	基于微管的过程
GO:0007018	microtubule-based movement	基于微管的运动
GO:0007019	microtubule depolymerization	微管解聚
GO:0007020	microtubule nucleation	微管成核
GO:0007021	tubulin complex assembly	微管蛋白复合物组装
GO:0007023	post-chaperonin tubulin folding pathway	伴侣蛋白后的微管蛋白折叠途径
GO:0007026	negative regulation of microtubule depolymerization	微管解聚的负调控
GO:0007027	negative regulation of axonemal microtubule depolymerization	轴丝微管解聚的负调控
GO:0007028	cytoplasm organization	细胞质组织
GO:0007029	endoplasmic reticulum organization	内质网组织
GO:0007030	Golgi organization	高尔基体组织
GO:0007031	peroxisome organization	过氧化物酶体组织
GO:0007032	endosome organization	内体组织
GO:0007033	vacuole organization	液泡组织
GO:0007034	vacuolar transport	液泡转运
GO:0007035	vacuolar acidification	液泡酸化
GO:0007036	vacuolar calcium ion homeostasis	液泡钙离子稳态
GO:0007038	endocytosed protein transport to vacuole	胞吞蛋白质向液泡的转运
GO:0007039	protein catabolic process in the vacuole	液泡中的蛋白质分解代谢过程
GO:0007040	lysosome organization	溶酶体组织
GO:0007041	lysosomal transport	溶酶体转运
GO:0007042	lysosomal lumen acidification	溶酶体腔酸化
GO:0007043	cell-cell junction assembly	细胞-细胞连接组装
GO:0007044	cell-substrate junction assembly	细胞-基质连接组装
GO:0007049	cell cycle	细胞周期
GO:0007051	spindle organization	纺锤体组织
GO:0007052	mitotic spindle organization	有丝分裂纺锤体组织
GO:0007053	spindle assembly involved in male meiosis	参与雄性减数分裂的纺锤体组装
GO:0007054	spindle assembly involved in male meiosis I	参与雄性减数分裂I的纺锤体组装
GO:0007055	spindle assembly involved in male meiosis II	参与雄性减数分裂II的纺锤体组装
GO:0007056	spindle assembly involved in female meiosis	参与雌性减数分裂的纺锤体组装
GO:0007057	spindle assembly involved in female meiosis I	参与雌性减数分裂I的纺锤体组装
GO:0007058	spindle assembly involved in female meiosis II	参与雌性减数分裂II的纺锤体组装
GO:0007059	chromosome segregation	染色体分离
GO:0007060	male meiosis chromosome segregation	雄性减数分裂染色体分离
GO:0007062	sister chromatid cohesion	姐妹染色单体凝聚
GO:0007063	regulation of sister chromatid cohesion	姐妹染色单体凝聚的调控
GO:0007064	mitotic sister chromatid cohesion	有丝分裂姐妹染色单体凝聚
GO:0007065	male meiosis sister chromatid cohesion	雄性减数分裂姐妹染色单体凝聚
GO:0007066	female meiosis sister chromatid cohesion	雌性减数分裂姐妹染色单体凝聚
GO:0007076	mitotic chromosome condensation	有丝分裂染色体凝缩
GO:0007077	mitotic nuclear membrane disassembly	有丝分裂核膜解组装
GO:0007078	lamin depolymerization	核纤层蛋白解聚
GO:0007079	mitotic chromosome movement towards spindle pole	有丝分裂染色体向纺锤体极移动
GO:0007080	mitotic metaphase chromosome alignment	有丝分裂中期染色体排列
GO:0007084	mitotic nuclear membrane reassembly	有丝分裂核膜重新组装
GO:0007087	mitotic nuclear pore complex reassembly	有丝分裂核孔复合物重新组装
GO:0007088	regulation of mitotic nuclear division	有丝分裂核分裂的调控
GO:0007089	traversing start control point of mitotic cell cycle	通过有丝分裂细胞周期起始控制点
GO:0007091	metaphase/anaphase transition of mitotic cell cycle	有丝分裂细胞周期的中期/后期转换
GO:0007093	mitotic cell cycle checkpoint signaling	有丝分裂细胞周期检查点信号传导
GO:0007094	mitotic spindle assembly checkpoint signaling	有丝分裂纺锤体组装检查点信号传导
GO:0007095	mitotic G2 DNA damage checkpoint signaling	有丝分裂G2期DNA损伤检查点信号传导
GO:0007096	regulation of exit from mitosis	有丝分裂退出过程的调控
GO:0007097	nuclear migration	细胞核迁移
GO:0007098	centrosome cycle	中心体周期
GO:0007099	centriole replication	中心粒复制
GO:0007100	mitotic centrosome separation	有丝分裂中心体分离
GO:0007105	cytokinesis, division site positioning	胞质分裂、分裂位点定位
GO:0007107	membrane addition at site of cytokinesis	胞质分裂位点的膜添加
GO:0007110	meiosis I cytokinesis	减数分裂I胞质分裂
GO:0007111	meiosis II cytokinesis	减数分裂II胞质分裂
GO:0007112	male meiosis cytokinesis	雄性减数分裂胞质分裂
GO:0007113	endomitotic cell cycle	核内有丝分裂细胞周期
GO:0007114	cell budding	细胞出芽
GO:0007116	regulation of cell budding	细胞出芽的调控
GO:0007117	budding cell bud growth	出芽细胞的芽生长
GO:0007118	budding cell apical bud growth	出芽细胞的芽顶端生长
GO:0007119	budding cell isotropic bud growth	出芽细胞的芽各向同性生长
GO:0007120	axial cellular bud site selection	轴向细胞芽位点选择
GO:0007121	bipolar cellular bud site selection	两极细胞芽位点选择
GO:0007124	pseudohyphal growth	假菌丝生长
GO:0007127	meiosis I	减数分裂I
GO:0007128	meiotic prophase I	减数分裂前期I
GO:0007129	homologous chromosome pairing at meiosis	减数分裂中同源染色体配对
GO:0007130	synaptonemal complex assembly	联会复合体组装
GO:0007131	reciprocal meiotic recombination	减数分裂交互重组
GO:0007132	meiotic metaphase I	减数分裂中期I
GO:0007133	meiotic anaphase I	减数分裂后期I
GO:0007134	meiotic telophase I	减数分裂末期I
GO:0007135	meiosis II	减数分裂II
GO:0007136	meiotic prophase II	减数分裂前期II
GO:0007137	meiotic metaphase II	减数分裂中期II
GO:0007138	meiotic anaphase II	减数分裂后期II
GO:0007139	meiotic telophase II	减数分裂末期II
GO:0007140	male meiotic nuclear division	雄性减数分裂核分裂
GO:0007141	male meiosis I	雄性减数分裂I
GO:0007142	male meiosis II	雄性减数分裂II
GO:0007143	female meiotic nuclear division	雌性减数分裂核分裂
GO:0007144	female meiosis I	雌性减数分裂I
GO:0007146	meiotic recombination nodule assembly	减数分裂重组节组装
GO:0007147	female meiosis II	雌性减数分裂II
GO:0007154	cell communication	细胞通讯
GO:0007155	cell adhesion	细胞黏附
GO:0007156	homophilic cell-cell adhesion	同亲型细胞-细胞黏附
GO:0007157	heterophilic cell-cell adhesion	异亲型细胞-细胞黏附
GO:0007158	neuron cell-cell adhesion	神经元细胞-细胞黏附
GO:0007159	leukocyte cell-cell adhesion	白细胞细胞-细胞黏附
GO:0007160	cell-matrix adhesion	细胞-基质黏附
GO:0007161	calcium-independent cell-matrix adhesion	钙非依赖的细胞-基质黏附
GO:0007162	negative regulation of cell adhesion	细胞黏附的负调控
GO:0007163	establishment or maintenance of cell polarity	细胞极性的建立或维持
GO:0007164	establishment of tissue polarity	组织极性的建立
GO:0007165	signal transduction	信号转导
GO:0007166	cell surface receptor signaling pathway	细胞表面受体信号传导通路
GO:0007167	enzyme-linked receptor protein signaling pathway	酶联受体蛋白信号传导通路
GO:0007168	receptor guanylyl cyclase signaling pathway	受体鸟苷酸环化酶信号传导通路
GO:0007169	cell surface receptor protein tyrosine kinase signaling pathway	细胞表面受体蛋白酪氨酸激酶信号传导通路
GO:0007171	activation of transmembrane receptor protein tyrosine kinase activity	跨膜受体蛋白酪氨酸激酶活性的激活
GO:0007172	signal complex assembly	信号复合物组装
GO:0007173	epidermal growth factor receptor signaling pathway	表皮生长因子受体信号传导通路
GO:0007174	epidermal growth factor catabolic process	表皮生长因子分解代谢过程
GO:0007175	negative regulation of epidermal growth factor-activated receptor activity	表皮生长因子激活的受体活性的负调控
GO:0007178	cell surface receptor protein serine/threonine kinase signaling pathway	细胞表面受体蛋白丝氨酸/苏氨酸激酶信号传导通路
GO:0007179	transforming growth factor beta receptor signaling pathway	转化生长因子β受体信号传导通路
GO:0007181	transforming growth factor beta receptor complex assembly	转化生长因子β受体复合物组装
GO:0007185	cell surface receptor protein tyrosine phosphatase signaling pathway	细胞表面受体蛋白酪氨酸磷酸酶信号传导通路
GO:0007186	G protein-coupled receptor signaling pathway	G蛋白偶联受体信号传导通路
GO:0007187	G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger	G蛋白偶联受体信号传导通路、偶联环核苷酸第二信使
GO:0007188	adenylate cyclase-modulating G protein-coupled receptor signaling pathway	调节腺苷酸环化酶的G蛋白偶联受体信号传导通路
GO:0007189	adenylate cyclase-activating G protein-coupled receptor signaling pathway	激活腺苷酸环化酶的G蛋白偶联受体信号传导通路
GO:0007190	activation of adenylate cyclase activity	腺苷酸环化酶活性的激活
GO:0007191	adenylate cyclase-activating dopamine receptor signaling pathway	激活腺苷酸环化酶的多巴胺受体信号传导通路
GO:0007192	adenylate cyclase-activating serotonin receptor signaling pathway	激活腺苷酸环化酶的5-羟色胺受体信号传导通路
GO:0007193	adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway	抑制腺苷酸环化酶的G蛋白偶联受体信号传导通路
GO:0007194	negative regulation of adenylate cyclase activity	腺苷酸环化酶活性的负调控
GO:0007195	adenylate cyclase-inhibiting dopamine receptor signaling pathway	抑制腺苷酸环化酶的多巴胺受体信号传导通路
GO:0007196	adenylate cyclase-inhibiting G protein-coupled glutamate receptor signaling pathway	抑制腺苷酸环化酶的G蛋白偶联谷氨酸受体信号传导通路
GO:0007197	adenylate cyclase-inhibiting G protein-coupled acetylcholine receptor signaling pathway	抑制腺苷酸环化酶的G蛋白偶联乙酰胆碱受体信号传导通路
GO:0007198	adenylate cyclase-inhibiting serotonin receptor signaling pathway	抑制腺苷酸环化酶的5-羟色胺受体信号传导通路
GO:0007199	G protein-coupled receptor signaling pathway coupled to cGMP nucleotide second messenger	G蛋白偶联受体信号传导通路、偶联cGMP核苷酸第二信使
GO:0007200	phospholipase C-activating G protein-coupled receptor signaling pathway	激活磷脂酶C的G蛋白偶联受体信号传导通路
GO:0007204	positive regulation of cytosolic calcium ion concentration	细胞质钙离子浓度的正调控
GO:0007206	phospholipase C-activating G protein-coupled glutamate receptor signaling pathway	激活磷脂酶C的G蛋白偶联谷氨酸受体信号传导通路
GO:0007207	phospholipase C-activating G protein-coupled acetylcholine receptor signaling pathway	激活磷脂酶C的G蛋白偶联乙酰胆碱受体信号传导通路
GO:0007208	phospholipase C-activating serotonin receptor signaling pathway	激活磷脂酶C的5-羟色胺受体信号传导通路
GO:0007209	phospholipase C-activating tachykinin receptor signaling pathway	激活磷脂酶C的速激肽受体信号传导通路
GO:0007210	serotonin receptor signaling pathway	5-羟色胺受体信号传导通路
GO:0007211	octopamine or tyramine signaling pathway	章鱼胺或酪胺信号传导通路
GO:0007212	G protein-coupled dopamine receptor signaling pathway	G蛋白偶联多巴胺受体信号传导通路
GO:0007213	G protein-coupled acetylcholine receptor signaling pathway	G蛋白偶联乙酰胆碱受体信号传导通路
GO:0007214	gamma-aminobutyric acid signaling pathway	γ-氨基丁酸信号传导通路
GO:0007215	glutamate receptor signaling pathway	谷氨酸受体信号传导通路
GO:0007216	G protein-coupled glutamate receptor signaling pathway	G蛋白偶联谷氨酸受体信号传导通路
GO:0007217	tachykinin receptor signaling pathway	速激肽受体信号传导通路
GO:0007218	neuropeptide signaling pathway	神经肽信号传导通路
GO:0007219	Notch signaling pathway	Notch信号传导通路
GO:0007220	Notch receptor processing	Notch受体加工
GO:0007221	positive regulation of transcription of Notch receptor target	Notch受体靶基因转录的正调控
GO:0007223	Wnt signaling pathway, calcium modulating pathway	Wnt信号传导通路、钙离子调节途径
GO:0007224	smoothened signaling pathway	smoothened信号传导通路
GO:0007225	patched ligand maturation	patched配体成熟
GO:0007229	integrin-mediated signaling pathway	整联蛋白介导的信号传导通路
GO:0007231	osmosensory signaling pathway	渗透感应信号传导通路
GO:0007232	osmosensory signaling pathway via Sho1 osmosensor	通过Sho1渗透感受器的渗透感应信号传导通路
GO:0007234	osmosensory signaling via phosphorelay pathway	通过磷传递途径的渗透感应信号传导
GO:0007249	canonical NF-kappaB signal transduction	经典NF-kappaB信号转导
GO:0007250	activation of NF-kappaB-inducing kinase activity	NF-kappaB诱导激酶活性的激活
GO:0007252	I-kappaB phosphorylation	I-kappaB磷酸化
GO:0007254	JNK cascade	JNK级联
GO:0007258	JUN phosphorylation	JUN磷酸化
GO:0007259	cell surface receptor signaling pathway via JAK-STAT	通过JAK-STAT的细胞表面受体信号传导通路
GO:0007260	tyrosine phosphorylation of STAT protein	STAT蛋白的酪氨酸磷酸化
GO:0007264	small GTPase-mediated signal transduction	小GTP酶介导的信号转导
GO:0007265	Ras protein signal transduction	Ras蛋白信号转导
GO:0007266	Rho protein signal transduction	Rho蛋白信号转导
GO:0007267	cell-cell signaling	细胞-细胞信号传导
GO:0007268	chemical synaptic transmission	化学突触传递
GO:0007269	neurotransmitter secretion	神经递质分泌
GO:0007270	neuron-neuron synaptic transmission	神经元-神经元突触传递
GO:0007271	synaptic transmission, cholinergic	突触传递、胆碱能的
GO:0007272	ensheathment of neurons	神经元包鞘
GO:0007274	neuromuscular synaptic transmission	神经肌肉突触传递
GO:0007275	multicellular organism development	多细胞生物发育
GO:0007276	gamete generation	配子生成
GO:0007277	pole cell development	极细胞发育
GO:0007278	pole cell fate determination	极细胞命运决定
GO:0007279	pole cell formation	极细胞形成
GO:0007281	germ cell development	生殖细胞发育
GO:0007282	cystoblast division	包囊细胞分裂
GO:0007283	spermatogenesis	精子发生
GO:0007284	spermatogonial cell division	精原细胞分裂
GO:0007285	primary spermatocyte growth	初级精母细胞生长
GO:0007286	spermatid development	精子细胞发育
GO:0007287	Nebenkern assembly	副核组装
GO:0007288	sperm axoneme assembly	精子轴丝组装
GO:0007289	spermatid nucleus differentiation	精子细胞核分化
GO:0007290	spermatid nucleus elongation	精子细胞核伸长
GO:0007291	sperm individualization	精子个体化
GO:0007292	female gamete generation	雌配子生成
GO:0007293	germarium-derived egg chamber formation	原卵区来源卵室形成
GO:0007294	germarium-derived oocyte fate determination	原卵区来源卵母细胞命运决定
GO:0007295	growth of a germarium-derived egg chamber	原卵区来源卵室的生长
GO:0007296	vitellogenesis	卵黄发生
GO:0007297	follicle cell of egg chamber migration	卵室滤泡细胞迁移
GO:0007298	border follicle cell migration	边缘滤泡细胞迁移
GO:0007299	follicle cell of egg chamber-cell adhesion	卵室滤泡细胞-细胞黏附
GO:0007300	ovarian nurse cell to oocyte transport	卵巢滋养细胞向卵母细胞的转运
GO:0007301	female germline ring canal formation	雌性生殖系环管形成
GO:0007302	nurse cell nucleus anchoring	滋养细胞核锚定
GO:0007304	chorion-containing eggshell formation	含卵壳的卵壳形成
GO:0007305	vitelline membrane formation involved in chorion-containing eggshell formation	参与含卵壳的卵壳形成的卵黄膜形成
GO:0007306	egg chorion assembly	卵壳组装
GO:0007307	eggshell chorion gene amplification	卵壳卵壳基因扩增
GO:0007308	oocyte construction	卵母细胞构建
GO:0007309	oocyte axis specification	卵母细胞轴特化
GO:0007310	oocyte dorsal/ventral axis specification	卵母细胞背腹轴特化
GO:0007311	maternal specification of dorsal/ventral axis, oocyte, germ-line encoded	卵母细胞背腹轴的母源特化、生殖系编码
GO:0007312	oocyte nucleus migration involved in oocyte dorsal/ventral axis specification	参与卵母细胞背腹轴特化的卵母细胞核迁移
GO:0007313	maternal specification of dorsal/ventral axis, oocyte, soma encoded	卵母细胞背腹轴的母源特化、体细胞编码
GO:0007314	oocyte anterior/posterior axis specification	卵母细胞前后轴特化
GO:0007315	germ plasm assembly	生殖质组装
GO:0007316	germ plasm RNA localization	生殖质RNA定位
GO:0007317	regulation of germ plasm oskar mRNA localization	生殖质oskar mRNA定位的调控
GO:0007318	germ plasm protein localization	生殖质蛋白质定位
GO:0007319	negative regulation of oskar mRNA translation	oskar mRNA翻译的负调控
GO:0007320	insemination	受精
GO:0007321	sperm displacement	精子取代
GO:0007323	peptide pheromone maturation	肽信息素成熟
GO:0007338	single fertilization	单次受精
GO:0007339	binding of sperm to zona pellucida	精子与透明带的结合
GO:0007340	acrosome reaction	顶体反应
GO:0007341	penetration of zona pellucida	穿透透明带
GO:0007342	fusion of sperm to egg plasma membrane involved in single fertilization	参与单次受精的精子与卵子质膜融合
GO:0007343	egg activation	卵子激活
GO:0007344	pronuclear fusion	原核融合
GO:0007346	regulation of mitotic cell cycle	有丝分裂细胞周期的调控
GO:0007347	regulation of preblastoderm mitotic cell cycle	囊胚层前有丝分裂细胞周期的调控
GO:0007348	regulation of syncytial blastoderm mitotic cell cycle	合胞体囊胚层有丝分裂细胞周期的调控
GO:0007349	cellularization	细胞化
GO:0007350	blastoderm segmentation	囊胚层分节
GO:0007351	tripartite regional subdivision	三区划分
GO:0007352	zygotic specification of dorsal/ventral axis	背腹轴的合子特化
GO:0007354	zygotic determination of anterior/posterior axis, embryo	胚胎前后轴的合子决定
GO:0007355	anterior region determination	前部区域决定
GO:0007356	thorax and anterior abdomen determination	胸部与前腹部决定
GO:0007359	posterior abdomen determination	后腹部决定
GO:0007362	terminal region determination	末端区域决定
GO:0007365	periodic partitioning	周期性分节
GO:0007366	periodic partitioning by pair rule gene	由成对规则基因的周期性分节
GO:0007367	segment polarity determination	体节极性决定
GO:0007368	determination of left/right symmetry	左右对称性的决定
GO:0007369	gastrulation	原肠胚形成
GO:0007370	ventral furrow formation	腹沟形成
GO:0007371	ventral midline determination	腹中线决定
GO:0007374	posterior midgut invagination	后中肠内陷
GO:0007375	anterior midgut invagination	前中肠内陷
GO:0007376	cephalic furrow formation	头沟形成
GO:0007377	germ-band extension	胚带延伸
GO:0007378	amnioserosa formation	羊浆膜形成
GO:0007379	segment specification	体节特化
GO:0007380	specification of segmental identity, head	体节身份特化、头部
GO:0007381	specification of segmental identity, labial segment	体节身份特化、下唇节
GO:0007382	specification of segmental identity, maxillary segment	体节身份特化、上颚节
GO:0007383	specification of segmental identity, antennal segment	体节身份特化、触角节
GO:0007384	specification of segmental identity, thorax	体节身份特化、胸部
GO:0007385	specification of segmental identity, abdomen	体节身份特化、腹部
GO:0007386	compartment pattern specification	区室模式特化
GO:0007387	anterior compartment pattern formation	前区室模式形成
GO:0007388	posterior compartment specification	后区室特化
GO:0007389	pattern specification process	模式特化过程
GO:0007390	germ-band shortening	胚带缩短
GO:0007391	dorsal closure	背面闭合
GO:0007392	initiation of dorsal closure	背面闭合的起始
GO:0007393	dorsal closure, leading edge cell fate determination	背面闭合、前缘细胞命运决定
GO:0007394	dorsal closure, elongation of leading edge cells	背面闭合、前缘细胞的伸长
GO:0007395	dorsal closure, spreading of leading edge cells	背面闭合、前缘细胞的铺展
GO:0007396	suture of dorsal opening	背侧开口的缝合
GO:0007398	ectoderm development	外胚层发育
GO:0007399	nervous system development	神经系统发育
GO:0007400	neuroblast fate determination	成神经细胞命运决定
GO:0007402	ganglion mother cell fate determination	神经节母细胞命运决定
GO:0007403	glial cell fate determination	胶质细胞命运决定
GO:0007405	neuroblast proliferation	成神经细胞增殖
GO:0007406	negative regulation of neuroblast proliferation	成神经细胞增殖的负调控
GO:0007407	neuroblast activation	成神经细胞激活
GO:0007409	axonogenesis	轴突发生
GO:0007411	axon guidance	轴突引导
GO:0007412	axon target recognition	轴突靶标识别
GO:0007413	axonal fasciculation	轴突成束
GO:0007414	axonal defasciculation	轴突解束
GO:0007415	defasciculation of motor neuron axon	运动神经元轴突的解束
GO:0007416	synapse assembly	突触组装
GO:0007417	central nervous system development	中枢神经系统发育
GO:0007418	ventral midline development	腹中线发育
GO:0007419	ventral cord development	腹索发育
GO:0007420	brain development	脑发育
GO:0007421	stomatogastric nervous system development	口胃神经系统发育
GO:0007422	peripheral nervous system development	外周神经系统发育
GO:0007423	sensory organ development	感觉器官发育
GO:0007424	open tracheal system development	开放气管系统发育
GO:0007425	epithelial cell fate determination, open tracheal system	上皮细胞命运决定、开放气管系统
GO:0007426	tracheal outgrowth, open tracheal system	气管长出、开放气管系统
GO:0007427	epithelial cell migration, open tracheal system	上皮细胞迁移、开放气管系统
GO:0007428	primary branching, open tracheal system	初级分支、开放气管系统
GO:0007429	secondary branching, open tracheal system	次级分支、开放气管系统
GO:0007430	terminal branching, open tracheal system	末端分支、开放气管系统
GO:0007431	salivary gland development	唾液腺发育
GO:0007432	salivary gland boundary specification	唾液腺边界特化
GO:0007433	larval salivary gland boundary specification	幼虫唾液腺边界特化
GO:0007434	adult salivary gland boundary specification	成体唾液腺边界特化
GO:0007435	salivary gland morphogenesis	唾液腺形态发生
GO:0007436	larval salivary gland morphogenesis	幼虫唾液腺形态发生
GO:0007437	adult salivary gland morphogenesis	成体唾液腺形态发生
GO:0007438	oenocyte development	绛色细胞发育
GO:0007439	ectodermal digestive tract development	外胚层消化道发育
GO:0007440	foregut morphogenesis	前肠形态发生
GO:0007441	anterior midgut (ectodermal) morphogenesis	前中肠（外胚层的）形态发生
GO:0007442	hindgut morphogenesis	后肠形态发生
GO:0007443	Malpighian tubule morphogenesis	马氏管形态发生
GO:0007444	imaginal disc development	成虫盘发育
GO:0007445	determination of imaginal disc primordium	成虫盘原基的决定
GO:0007446	imaginal disc growth	成虫盘生长
GO:0007447	imaginal disc pattern formation	成虫盘模式形成
GO:0007448	anterior/posterior pattern specification, imaginal disc	前后模式特化、成虫盘
GO:0007449	proximal/distal pattern formation, imaginal disc	近远模式形成、成虫盘
GO:0007450	dorsal/ventral pattern formation, imaginal disc	背腹模式形成、成虫盘
GO:0007451	dorsal/ventral lineage restriction, imaginal disc	背腹谱系限制、成虫盘
GO:0007453	clypeo-labral disc morphogenesis	唇上颚盘形态发生
GO:0007454	labial disc morphogenesis	下唇盘形态发生
GO:0007455	eye-antennal disc morphogenesis	眼触角盘形态发生
GO:0007458	progression of morphogenetic furrow involved in compound eye morphogenesis	参与复眼形态发生的形态发生沟推进
GO:0007460	R8 cell fate commitment	R8细胞命运定向
GO:0007462	R1/R6 cell fate commitment	R1/R6细胞命运定向
GO:0007463	R2/R5 cell fate commitment	R2/R5细胞命运定向
GO:0007464	R3/R4 cell fate commitment	R3/R4细胞命运定向
GO:0007465	R7 cell fate commitment	R7细胞命运定向
GO:0007469	antennal development	触角发育
GO:0007470	prothoracic disc morphogenesis	前胸盘形态发生
GO:0007472	wing disc morphogenesis	翅盘形态发生
GO:0007473	wing disc proximal/distal pattern formation	翅盘近远模式形成
GO:0007474	imaginal disc-derived wing vein specification	成虫盘来源的翅脉特化
GO:0007475	apposition of dorsal and ventral imaginal disc-derived wing surfaces	成虫盘来源的翅背腹表面的对合
GO:0007476	imaginal disc-derived wing morphogenesis	成虫盘来源的翅形态发生
GO:0007477	notum development	背板发育
GO:0007478	leg disc morphogenesis	足盘形态发生
GO:0007479	leg disc proximal/distal pattern formation	足盘近远模式形成
GO:0007480	imaginal disc-derived leg morphogenesis	成虫盘来源的足形态发生
GO:0007481	haltere disc morphogenesis	平衡棒盘形态发生
GO:0007482	haltere development	平衡棒发育
GO:0007483	genital disc morphogenesis	生殖盘形态发生
GO:0007484	imaginal disc-derived genitalia development	成虫盘来源的外生殖器发育
GO:0007485	imaginal disc-derived male genitalia development	成虫盘来源的雄性外生殖器发育
GO:0007486	imaginal disc-derived female genitalia development	成虫盘来源的雌性外生殖器发育
GO:0007487	analia development	肛下板发育
GO:0007488	histoblast morphogenesis	组织母细胞形态发生
GO:0007489	maintenance of imaginal histoblast diploidy	成虫组织母细胞二倍性的维持
GO:0007490	tergite morphogenesis	背片形态发生
GO:0007491	sternite morphogenesis	腹片形态发生
GO:0007492	endoderm development	内胚层发育
GO:0007493	endodermal cell fate determination	内胚层细胞命运决定
GO:0007494	midgut development	中肠发育
GO:0007495	visceral mesoderm-endoderm interaction involved in midgut development	参与中肠发育的内脏中胚层与内胚层相互作用
GO:0007496	anterior midgut development	前中肠发育
GO:0007497	posterior midgut development	后中肠发育
GO:0007498	mesoderm development	中胚层发育
GO:0007499	ectoderm and mesoderm interaction	外胚层与中胚层的相互作用
GO:0007500	mesodermal cell fate determination	中胚层细胞命运决定
GO:0007501	mesodermal cell fate specification	中胚层细胞命运特化
